CONTIN           ARCES                ARB5   BHE      7200.00 1  2014261  2286324 20140918 12:00:00
CONTIN           ARCES                ARC1   BHZ      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARC1   BHN      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARC1   BHE      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARC2   BHZ      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC2   BHN      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC2   BHE      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC3   BHZ      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC3   BHN      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC3   BHE      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC4   BHZ      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARC4   BHN      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARC4   BHE      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARC5   BHZ      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC5   BHN      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC5   BHE      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC6   BHZ      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC6   BHN      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC6   BHE      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARC7   BHZ      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARC7   BHN      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARC7   BHE      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD1   BHZ      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD1   BHN      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD1   BHE      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD2   BHZ      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD2   BHN      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD2   BHE      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD3   BHZ      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD3   BHN      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD3   BHE      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD4   BHZ      7200.00 1  2014264  2286324 20140921 12:00:00
CONTIN           ARCES                ARD4   BHN      7200.00 1  2014264  2286324 20140921 12:00:00
CONTIN           ARCES                ARD4   BHE      7200.00 1  2014264  2286324 20140921 12:00:00
CONTIN           ARCES                ARD5   BHZ      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD5   BHN      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD5   BHE      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD6   BHZ      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD6   BHN      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD6   BHE      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD7   BHZ      7200.00 1  2014261  2286324 20140918 12:00:00
CONTIN           ARCES                ARD7   BHN      7200.00 1  2014261  2286324 20140918 12:00:00
CONTIN           ARCES                ARD7   BHE      7200.00 1  2014261  2286324 20140918 12:00:00
CONTIN           ARCES                ARD8   BHZ      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD8   BHN      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD8   BHE      7200.00 1  2014262  2286324 20140919 12:00:00
CONTIN           ARCES                ARD9   BHZ      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD9   BHN      7200.00 1  2014263  2286324 20140920 12:00:00
CONTIN           ARCES                ARD9   BHE      7200.00 1  2014263  2286324 20140920 12:00:00
