CONTIN           YKA                  YKW3   BHN      7200.00 1  2006264  2014013 20140114 12:00:00
CONTIN           YKA                  YKW3   BHE      7200.00 1  2006264  2014013 20140114 12:00:00
CONTIN           YKA                  YKAB0  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAB1  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAB2  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAB3  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAB4  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAB6  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAB7  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAB8  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAB9  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR1  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR2  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR3  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR4  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR5  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR6  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR7  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR8  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAR9  SHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAW1  BHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAW1  BHN      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAW1  BHE      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAW3  BHZ      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAW3  BHN      7200.00 1  2014013  2286324 20140114 12:00:00
CONTIN           YKA                  YKAW3  BHE      7200.00 1  2014013  2286324 20140114 12:00:00
