I11L1  BWS          4962 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L1  BWD          4961 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L1  BKO          4960 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L1  BDF          4951 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L1  BDA          4959 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L2  BDF          4952 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L3  BDF          4953 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L4  BDF          4954 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L5  BDF          4955 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L6  BDF          4956 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L7  BDF          4957 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
I11L8  BDF          4958 n -  s4        0 n -  s4        0 y        -1 20090909 12:00:00
